Unique Signature,Number of downloads,Price,Total,Savings
00PCLNAME KRAMERBOOKS DISTRICT OF COLUMBIA  PCIVIL PARTY SEARCH,1,$0.10,$0.10,$0
00PCL14-1074 ALL COURTS  PAGE: 1CIVIL CASE SEARCH,1,$0.10,$0.10,$0
00PCLNAME CACI FILED 01/01/2014 TO 07/02/2014ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME GIANT FILED 06/15/2014 TO 07/02/201ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME CGI FILED 06/15/2014 TO 07/02/2014ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME ACACIA FILED 06/15/2014 TO 07/02/20ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME AMERITAS FILED 06/15/2014 TO 07/02/ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME CALVERT FILED 06/15/2014 TO 07/02/2ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME GANNETT FILED 06/15/2014 TO 07/02/2ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME MICROSTRATEGY FILED 06/15/2014 TO 0ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME CAMBRIDGE INVESTMENT FILED 06/15/20ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME COMPUTER SCIENCE FILED 06/15/2014 TALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCL13-3619 THIRD CIRCUIT  PAGE: 1APPELLATE CASE SEARCH,1,$0.10,$0.10,$0
"00PCLNAME HILSON, TAL FLORIDA  PAGE: 1CIVIL PARTY SEARCH",1,$0.10,$0.10,$0
"00PCLNAME HILSON,  TAL FLORIDA  PAGE: 1  SORT:CIVIL PARTY SEARCH",1,$0.10,$0.10,$0
00PCL3:09CV238 ALL COURTS  PAGE: 1ALL COURT TYPES CASE SEAR,1,$0.10,$0.10,$0
00PCL13-3619 ALL COURTS  PAGE: 1CIVIL CASE SEARCH,1,$0.10,$0.10,$0
00PCL13-3619 ALL COURTS  PAGE: 1APPELLATE CASE SEARCH,1,$0.10,$0.10,$0
00PCLNAME READYCLEAN ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
"00PCLNAME DUSTON,  ROBERT ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEA",2,$0.10,$0.20,$0.10
00PCL14-367 TEXAS WESTERN  PAGE: 1CIVIL CASE SEARCH,1,$0.10,$0.10,$0
00PCLNAME REYA BOYER ALL COURTS  PAGE: 1APPELLATE PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME BOYER-LIBERTO FOURTH CIRCUIT  PAGE:APPELLATE PARTY SEARCH,1,$0.10,$0.10,$0
00PCL14-490 ALL COURTS  PAGE: 1CIVIL CASE SEARCH,1,$0.10,$0.10,$0
00PCL14-490 ALL COURTS  PAGE: 2CIVIL CASE SEARCH,1,$0.10,$0.10,$0
00PCLNAME CACI FILED 01/01/2014 TO 07/07/2014ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME GIANT FILED 06/01/2014 TO 07/07/201ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME STOP FILED 06/01/2014 TO 07/07/2014ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME CGI FILED 06/01/2014 TO 07/07/2014ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME ACACIA FILED 06/01/2014 TO 07/07/20ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME MICROSTRATEGY FILED 06/01/2014 TO 0ALL COURT TYPES PARTY SEA,3,$0.10,$0.30,$0.20
00PCLNAME GANNETT FILED 06/01/2014 TO 07/07/2ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCL13-1473 FOURTH CIRCUIT  PAGE: 1APPELLATE CASE SEARCH,4,$0.10,$0.40,$0.30
00PCLNAME GIANT FILED 06/01/2014 TO 07/08/201ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME CACI FILED 06/01/2014 TO 07/08/2014ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME CGI FILED 06/01/2014 TO 07/08/2014ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME GANNETT FILED 06/01/2014 TO 07/08/2ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME COMPUTER SCIENCE FILED 06/01/2014 TALL COURT TYPES PARTY SEA,2,$0.10,$0.20,$0.10
