Report for mn0010,,,,,,,
Court,Transaction Date,Time,Pages,Client Code,Description,Search,Cost
00PCL,04/01/2014,07:39:36,1,,BANKRUPTCY PARTY SEARCH,"NAME DOUGLAS, KELLYE ALL COURTS  PAGE: 1",$0.10
00PCL,04/01/2014,10:45:58,1,,CIVIL CASE SEARCH,13-2073 ALL COURTS  PAGE: 1,$0.10
00PCL,04/01/2014,10:48:07,1,,BANKRUPTCY PARTY SEARCH,NAME BIG DRIVE CATTLE ALL COURTS  PAGE:,$0.10
00PCL,04/01/2014,13:38:51,1,10471,CIVIL PARTY SEARCH,"NAME MARKIN, RODNEY ALL COURTS  PAGE: 1",$0.10
00PCL,04/01/2014,13:39:03,1,10471,CIVIL PARTY SEARCH,"NAME MARKIN, ROD ALL COURTS  PAGE: 1",$0.10
00PCL,04/01/2014,13:39:17,1,10471,CIVIL PARTY SEARCH,NAME MARKIN NEBRASKA  PAGE: 1,$0.10
00PCL,04/01/2014,15:06:17,1,,ALL COURT TYPES CASE SEAR,12-30098 ALL COURTS  PAGE: 1,$0.10
00PCL,04/01/2014,15:12:06,1,,BANKRUPTCY CASE SEARCH,12-30098 ALL COURTS  PAGE: 1,$0.10
00PCL,04/01/2014,15:52:11,1,OFFICE,CIVIL CASE SEARCH,2:10-CV-2490 ALL COURTS  PAGE: 1,$0.10
00PCL,04/02/2014,07:20:42,1,,ALL COURT TYPES CASE SEAR,14-00023 ALL COURTS  PAGE: 1,$0.10
00PCL,04/02/2014,07:21:02,1,,ALL COURT TYPES CASE SEAR,14-00023 ALL COURTS  PAGE: 2,$0.10
00PCL,04/02/2014,07:21:44,1,,CIVIL PARTY SEARCH,NAME HEPLERBROOM 14-00023 NEBRASKA  PAGE,$0.10
00PCL,04/02/2014,08:08:45,1,,ALL COURT TYPES CASE SEAR,12-30098 ALL COURTS  PAGE: 1,$0.10
00PCL,04/02/2014,08:20:40,1,,BANKRUPTCY PARTY SEARCH,NAME NEW MEATCO ALL COURTS  PAGE: 1,$0.10
00PCL,04/02/2014,08:30:07,1,,BANKRUPTCY PARTY SEARCH,NAME A CALIFORNIA  PAGE: 1,$0.10
00PCL,04/02/2014,08:32:15,1,,BANKRUPTCY PARTY SEARCH,NAME A CALIFORNIA  PAGE: 1,$0.10
00PCL,04/02/2014,08:33:00,1,,BANKRUPTCY PARTY SEARCH,NAME A CALIFORNIA  PAGE: 8,$0.10
00PCL,04/02/2014,08:33:19,1,,BANKRUPTCY PARTY SEARCH,NAME A FILED ON OR AFTER 03/11/2014 CALI,$0.10
00PCL,04/02/2014,08:33:42,1,,BANKRUPTCY PARTY SEARCH,NAME A FILED ON OR AFTER 03/11/2013 CALI,$0.10
00PCL,04/02/2014,08:34:18,1,,BANKRUPTCY PARTY SEARCH,NAME A FILED ON OR AFTER 03/11/2013 CALI,$0.10
00PCL,04/02/2014,08:35:53,1,,BANKRUPTCY PARTY SEARCH,NAME A FILED ON OR AFTER 03/11/2013 CALI,$0.10
00PCL,04/02/2014,08:35:59,1,,BANKRUPTCY PARTY SEARCH,NAME A FILED ON OR AFTER 03/11/2013 CALI,$0.10
00PCL,04/02/2014,08:36:03,1,,BANKRUPTCY PARTY SEARCH,NAME A FILED ON OR AFTER 03/11/2013 CALI,$0.10
00PCL,04/02/2014,08:36:08,1,,BANKRUPTCY PARTY SEARCH,NAME A FILED ON OR AFTER 03/11/2013 CALI,$0.10
00PCL,04/02/2014,08:58:02,1,,ALL COURT TYPES CASE SEAR,8:14-CV-5 NEBRASKA  PAGE: 1,$0.10
00PCL,04/02/2014,14:28:43,1,,ALL COURT TYPES PARTY SEA,NAME AJAX FLORIDA  PAGE: 1,$0.10
00PCL,04/02/2014,14:29:13,1,,ALL COURT TYPES PARTY SEA,NAME AJAX FLORIDA  PAGE: 2,$0.10
00PCL,04/03/2014,06:38:28,1,OFFICE,CIVIL CASE SEARCH,112-CV-7127 ALL COURTS  PAGE: 1,$0.10
00PCL,04/03/2014,06:38:34,1,OFFICE,CIVIL CASE SEARCH,12-CV-7127 ALL COURTS  PAGE: 1,$0.10
00PCL,04/03/2014,06:39:43,1,OFFICE,CIVIL CASE SEARCH,12-CV-7125 ALL COURTS  PAGE: 1,$0.10
00PCL,04/03/2014,06:40:22,1,OFFICE,BANKRUPTCY CASE SEARCH,11-37690 ALL COURTS  PAGE: 1,$0.10
